Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Myke Henry,MEM,20.0,18.9,2.1,5.5,0.376,1.0,0.328,1.1,0.431,0.463,0.3,0.5,0.6,0.5,1.4,1.9,1.1,1.6,0.3,1.0,5.4,2017-18,0.47,0.29,0,29,0
Jonathan Isaac,ORL,27.0,19.9,2.0,5.4,0.379,0.6,0.348,1.4,0.394,0.434,0.7,0.9,0.76,0.6,3.1,3.7,0.7,1.2,1.1,1.0,5.4,2017-18,0.47,0.28,0,26,0
Wesley Johnson,LAC,74.0,20.1,2.0,5.0,0.408,0.8,0.339,1.2,0.471,0.489,0.6,0.8,0.741,0.4,2.5,2.9,0.8,1.0,0.8,0.7,5.4,2017-18,0.5,0.09,0,18,0
Maxi Kleber,DAL,72.0,16.8,2.1,4.3,0.489,0.6,0.313,1.5,0.613,0.553,0.6,0.8,0.746,1.0,2.3,3.3,0.7,0.4,0.7,0.4,5.4,2017-18,0.58,0.11,0,28,0
Jon Leuer,DET,8.0,17.0,1.9,4.5,0.417,0.0,0.0,1.9,0.455,0.417,1.6,1.9,0.867,0.9,3.1,4.0,0.6,0.1,0.4,0.9,5.4,2017-18,0.51,0.84,0,19,0
Zaza Pachulia,GSW,69.0,14.1,2.2,3.8,0.564,0.0,0.0,2.2,0.567,0.564,1.1,1.3,0.806,1.3,3.4,4.7,1.6,0.6,0.2,1.0,5.4,2017-18,0.62,0.14,0,3,1
Corey Brewer,2TM,72.0,16.8,2.0,4.4,0.449,0.4,0.282,1.5,0.539,0.498,0.9,1.3,0.722,0.6,1.5,2.1,0.9,1.1,0.2,0.7,5.3,2017-18,0.53,0.08,0,-1,0
Ed Davis,POR,78.0,18.9,2.2,3.7,0.582,0.0,0.0,2.2,0.584,0.582,0.9,1.4,0.667,2.3,5.0,7.4,0.5,0.4,0.7,0.8,5.3,2017-18,0.61,0.15,0,7,1
Daniel Theis,BOS,63.0,14.9,2.0,3.7,0.541,0.3,0.31,1.7,0.617,0.579,1.0,1.3,0.753,1.4,2.9,4.3,0.9,0.5,0.8,0.9,5.3,2017-18,0.62,0.14,0,4,1
Luke Babbitt,2TM,50.0,14.3,1.8,4.3,0.423,1.2,0.385,0.6,0.525,0.563,0.3,0.4,0.773,0.1,1.8,1.9,0.6,0.2,0.1,0.4,5.2,2017-18,0.58,0.1,0,-1,0
DeAndre' Bembry,ATL,26.0,17.5,2.0,4.9,0.414,0.4,0.367,1.6,0.429,0.457,0.7,1.3,0.576,0.3,2.5,2.8,1.9,0.8,0.5,1.8,5.2,2017-18,0.48,0.23,0,27,0
Brandon Jennings,MIL,14.0,14.6,1.9,5.1,0.375,0.6,0.273,1.3,0.462,0.438,0.7,0.7,1.0,0.4,1.9,2.2,3.1,0.4,0.3,1.3,5.2,2017-18,0.48,0.48,0,15,1
Willy Hernangómez,2TM,48.0,10.3,1.9,3.4,0.555,0.1,0.417,1.8,0.566,0.57,1.2,1.9,0.656,1.3,2.5,3.8,0.7,0.4,0.3,0.7,5.1,2017-18,0.6,0.15,0,-1,0
Jamel Artis,ORL,15.0,18.6,2.1,5.3,0.392,0.5,0.276,1.5,0.46,0.443,0.5,0.8,0.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,5.1,2017-18,0.45,0.34,0,26,0
Tyus Jones,MIN,82.0,17.9,1.8,4.0,0.457,0.5,0.349,1.3,0.528,0.526,0.9,1.0,0.877,0.2,1.4,1.6,2.8,1.2,0.1,0.7,5.1,2017-18,0.57,0.1,0,12,1
Rodney McGruder,MIA,18.0,16.6,2.0,4.1,0.493,0.8,0.429,1.2,0.553,0.596,0.2,0.4,0.5,0.6,1.2,1.8,0.9,0.4,0.2,0.2,5.1,2017-18,0.6,0.33,0,16,1
Shabazz Muhammad,2TM,43.0,9.7,2.0,4.4,0.447,0.2,0.259,1.8,0.478,0.465,0.9,1.2,0.78,0.5,1.2,1.8,0.3,0.2,0.1,0.1,5.0,2017-18,0.51,0.11,0,-1,0
Channing Frye,2TM,53.0,13.1,2.0,4.0,0.491,0.7,0.339,1.2,0.67,0.583,0.3,0.4,0.895,0.2,2.3,2.5,0.7,0.3,0.2,0.4,5.0,2017-18,0.6,0.12,0,-1,0
Royce O'Neale,UTA,69.0,16.7,1.7,4.1,0.423,0.6,0.356,1.1,0.47,0.496,0.9,1.1,0.803,0.4,3.1,3.4,1.4,0.5,0.2,0.8,5.0,2017-18,0.55,0.1,0,10,1
Andre Roberson,OKC,39.0,26.6,2.2,4.2,0.537,0.2,0.222,2.0,0.627,0.562,0.3,1.0,0.316,1.9,2.8,4.7,1.2,1.2,0.9,0.8,5.0,2017-18,0.54,0.24,0,11,1
Brandan Wright,2TM,28.0,13.6,2.1,3.6,0.578,0.0,,2.1,0.578,0.578,0.8,1.2,0.636,1.2,2.2,3.4,0.5,0.5,0.9,0.3,5.0,2017-18,0.61,0.29,0,-1,0
Noah Vonleh,2TM,54.0,16.2,1.9,4.3,0.444,0.4,0.303,1.6,0.5,0.487,0.7,1.1,0.621,1.3,4.5,5.8,0.6,0.4,0.3,0.6,4.9,2017-18,0.51,0.16,0,-1,0
Ramon Sessions,2TM,28.0,14.0,1.5,4.2,0.359,0.3,0.308,1.2,0.374,0.393,1.6,2.0,0.772,0.2,1.1,1.4,2.8,0.5,0.1,1.1,4.9,2017-18,0.48,0.2,0,-1,0
Jameer Nelson,2TM,50.0,20.3,1.9,4.9,0.389,0.8,0.331,1.1,0.45,0.473,0.3,0.4,0.8,0.3,1.8,2.1,3.6,0.5,0.1,1.3,4.9,2017-18,0.48,0.14,0,-1,0
Cheick Diallo,NOP,52.0,11.2,2.0,3.4,0.58,0.0,,2.0,0.58,0.58,1.0,1.3,0.758,0.9,3.2,4.1,0.4,0.2,0.4,0.5,4.9,2017-18,0.62,0.15,0,9,1
