Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Trentyn Flowers,19.0,LAC,SF,1.0,0.0,14.0,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,9.0,,2024-25
Kevin Huerter,26.0,SAC,SG,20.0,15.0,25.8,3.5,8.6,0.404,1.6,5.7,0.272,1.9,2.9,0.667,0.494,0.5,0.8,0.667,0.4,3.1,3.5,2.0,1.1,0.6,1.0,2.4,9.0,,2024-25
Yves Missi,20.0,NOP,C,22.0,16.0,24.7,3.6,6.5,0.552,0.0,0.0,,3.6,6.5,0.552,0.552,1.8,3.0,0.615,3.6,4.3,8.0,1.3,0.7,1.2,1.2,1.9,9.0,,2024-25
Taurean Prince,30.0,MIL,SF,21.0,21.0,28.4,3.2,6.3,0.508,2.1,3.9,0.556,1.0,2.4,0.431,0.678,0.5,0.6,0.846,0.7,3.8,4.5,1.9,0.9,0.2,1.1,2.2,9.0,,2024-25
Jalen Wilson,24.0,BRK,PF,22.0,6.0,25.0,3.0,6.8,0.447,1.3,3.7,0.354,1.7,3.1,0.559,0.543,1.6,1.8,0.875,1.0,2.6,3.6,1.6,0.4,0.0,0.9,2.3,9.0,,2024-25
Jusuf Nurkić,30.0,PHO,C,16.0,16.0,24.1,2.9,7.0,0.42,0.9,2.9,0.298,2.1,4.1,0.508,0.482,2.2,3.3,0.673,1.8,8.1,9.9,1.3,0.9,0.6,2.3,2.9,8.9,,2024-25
Donte DiVincenzo,28.0,MIN,SG,21.0,2.0,25.5,3.0,8.4,0.356,2.2,6.6,0.331,0.8,1.8,0.447,0.486,0.6,0.8,0.75,0.4,2.7,3.0,3.5,1.3,0.2,1.8,1.7,8.8,,2024-25
Draymond Green,34.0,GSW,PF,19.0,19.0,28.5,2.9,6.7,0.433,1.5,3.8,0.403,1.4,2.9,0.473,0.547,1.5,2.5,0.604,0.9,5.3,6.2,6.0,1.0,1.0,2.3,3.3,8.8,,2024-25
Kevin Porter Jr.,24.0,LAC,SG,21.0,0.0,18.7,3.7,8.9,0.414,0.4,2.3,0.184,3.2,6.5,0.496,0.438,1.0,1.7,0.629,0.7,2.9,3.5,2.8,0.9,0.3,2.3,1.3,8.8,,2024-25
Gary Trent Jr.,26.0,MIL,SG,19.0,7.0,25.6,3.0,7.7,0.39,1.9,5.1,0.385,1.1,2.6,0.4,0.517,0.8,0.9,0.889,0.2,1.9,2.1,1.0,0.9,0.0,0.6,2.3,8.8,,2024-25
Jalen Duren,21.0,DET,C,22.0,22.0,23.9,3.5,5.1,0.681,0.0,0.0,,3.5,5.1,0.681,0.681,1.7,3.0,0.576,3.0,6.1,9.2,2.5,0.3,1.3,2.0,3.1,8.7,,2024-25
Jake LaRavia,23.0,MEM,PF,23.0,0.0,23.3,3.1,6.0,0.511,0.9,2.2,0.392,2.2,3.8,0.58,0.583,1.7,2.4,0.696,1.5,3.3,4.8,3.7,0.8,0.7,1.4,2.3,8.7,,2024-25
Kentavious Caldwell-Pope,31.0,ORL,SG,23.0,23.0,29.9,2.9,7.2,0.406,1.5,4.9,0.313,1.4,2.3,0.604,0.512,1.2,1.3,0.966,0.4,1.8,2.2,1.8,1.6,0.6,0.7,2.1,8.6,,2024-25
Mike Conley,37.0,MIN,PG,17.0,17.0,25.5,2.6,7.5,0.354,1.9,5.2,0.364,0.8,2.3,0.333,0.48,1.5,1.6,0.893,0.5,2.5,2.9,4.5,1.5,0.2,1.4,1.6,8.6,,2024-25
Ziaire Williams,23.0,BRK,SF,21.0,7.0,21.9,3.0,7.6,0.403,0.9,3.1,0.273,2.2,4.4,0.495,0.459,1.7,2.1,0.795,1.0,3.3,4.4,1.1,1.0,0.3,0.9,2.7,8.6,,2024-25
Sam Hauser,27.0,BOS,PF,18.0,2.0,22.7,3.1,7.2,0.434,2.2,5.9,0.364,0.9,1.2,0.773,0.585,0.1,0.1,1.0,0.8,2.7,3.5,1.1,0.8,0.2,0.4,1.3,8.5,,2024-25
Cody Martin,29.0,CHO,SF,22.0,3.0,25.4,3.2,7.2,0.443,1.2,3.5,0.351,2.0,3.7,0.531,0.528,1.0,1.5,0.656,1.1,3.5,4.6,2.4,1.0,0.7,0.9,1.9,8.5,,2024-25
Georges Niang,31.0,CLE,PF,23.0,1.0,20.2,3.2,7.1,0.451,1.7,4.7,0.349,1.6,2.4,0.655,0.567,0.3,0.4,0.778,0.6,3.1,3.7,1.1,0.3,0.2,1.0,2.3,8.4,,2024-25
Jaylen Nowell,25.0,NOP,SG,8.0,0.0,21.0,3.3,9.1,0.356,1.0,3.4,0.296,2.3,5.8,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,,2024-25
Julian Strawther,22.0,DEN,SG,20.0,0.0,20.2,2.9,6.5,0.438,1.3,3.4,0.388,1.6,3.2,0.492,0.538,1.4,1.7,0.794,0.3,1.7,2.0,1.3,0.8,0.4,0.9,2.7,8.4,,2024-25
Anthony Black,21.0,ORL,PG,24.0,1.0,24.2,2.9,6.9,0.424,0.7,2.5,0.271,2.3,4.4,0.509,0.473,1.8,2.5,0.729,0.5,2.2,2.8,4.1,0.9,0.7,2.3,2.1,8.3,,2024-25
Josh Okogie,26.0,PHO,SG,11.0,1.0,15.4,3.1,5.9,0.523,0.9,2.0,0.455,2.2,3.9,0.558,0.6,1.2,1.8,0.65,1.5,1.9,3.4,0.7,1.0,0.1,0.8,1.1,8.3,,2024-25
A.J. Green,25.0,MIL,SG,20.0,3.0,20.6,2.8,5.8,0.478,2.5,5.3,0.462,0.3,0.5,0.667,0.691,0.3,0.3,0.833,0.2,2.0,2.2,1.0,0.6,0.1,0.6,2.1,8.2,,2024-25
Garrison Mathews,28.0,ATL,SG,18.0,1.0,17.9,2.4,5.3,0.453,2.1,4.4,0.468,0.3,0.9,0.375,0.647,1.3,1.6,0.828,0.2,0.9,1.1,1.4,0.7,0.2,0.6,1.7,8.2,,2024-25
Cameron Payne,30.0,NYK,PG,17.0,0.0,17.8,2.9,6.8,0.435,1.8,4.0,0.441,1.2,2.8,0.426,0.565,0.5,0.6,0.818,0.4,1.6,1.9,3.4,0.7,0.4,0.6,2.2,8.2,,2024-25
Goga Bitadze,25.0,ORL,C,19.0,16.0,22.2,3.4,5.1,0.677,0.0,0.4,0.0,3.4,4.7,0.73,0.677,1.3,1.6,0.774,2.5,4.5,7.0,1.7,0.8,1.6,1.3,2.5,8.1,,2024-25
Andre Drummond,31.0,PHI,C,17.0,11.0,20.4,3.2,6.2,0.524,0.1,0.4,0.167,3.2,5.8,0.545,0.529,1.5,2.8,0.553,2.9,5.3,8.2,0.6,1.3,0.5,1.7,2.5,8.1,,2024-25
