Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Ed Davis,MIN,23.0,13.0,0.8,1.9,0.432,0.0,,0.8,0.432,0.432,0.4,0.5,0.833,2.0,3.0,5.0,0.9,0.6,0.6,0.3,2.1,2020-21,0.5,0.33,
Devon Dotson,CHI,11.0,4.5,1.0,1.9,0.524,0.1,0.143,0.9,0.714,0.548,0.0,0.0,,0.2,0.3,0.5,0.6,0.4,0.0,0.0,2.1,2020-21,0.55,0.25,
Deividas Sirvydis,DET,20.0,6.7,0.7,2.0,0.35,0.5,0.357,0.2,0.333,0.475,0.2,0.3,0.5,0.0,1.5,1.5,0.3,0.1,0.0,0.3,2.1,2020-21,0.49,0.12,
Sindarius Thornwell,2TM,21.0,10.3,0.7,2.2,0.326,0.3,0.304,0.4,0.348,0.402,0.2,0.4,0.5,0.1,0.7,0.9,1.0,0.6,0.1,0.3,2.0,2020-21,0.42,0.12,
Isaac Bonga,WAS,40.0,10.8,0.8,2.0,0.37,0.3,0.277,0.4,0.5,0.451,0.1,0.2,0.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,2.0,2020-21,0.48,0.07,
Devontae Cacok,LAL,20.0,4.9,0.9,1.5,0.586,0.0,,0.9,0.586,0.586,0.3,0.6,0.455,0.6,1.0,1.6,0.1,0.3,0.2,0.3,2.0,2020-21,0.57,0.15,
Nate Hinton,DAL,21.0,4.4,0.7,2.0,0.357,0.2,0.211,0.5,0.478,0.405,0.3,0.5,0.7,0.0,0.4,0.4,0.4,0.3,0.1,0.2,2.0,2020-21,0.45,0.07,
Jontay Porter,MEM,11.0,4.9,0.7,1.4,0.533,0.3,0.375,0.5,0.714,0.633,0.3,0.5,0.6,0.4,0.9,1.3,0.1,0.3,0.1,0.6,2.0,2020-21,0.62,0.21,
Jalen Smith,PHO,27.0,5.8,0.8,1.9,0.44,0.1,0.235,0.7,0.545,0.48,0.2,0.3,0.714,0.3,1.1,1.4,0.1,0.0,0.2,0.3,2.0,2020-21,0.49,0.08,
Ray Spalding,HOU,2.0,9.5,1.0,2.0,0.5,0.0,0.0,1.0,0.667,0.5,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.5,2.0,2020-21,0.41,0.75,
Miye Oni,UTA,54.0,9.6,0.6,1.8,0.354,0.6,0.341,0.1,0.455,0.505,0.1,0.1,0.833,0.4,1.1,1.6,0.5,0.2,0.1,0.3,1.9,2020-21,0.52,0.05,
Alen Smailagić,GSW,15.0,5.6,0.7,1.8,0.407,0.3,0.4,0.5,0.412,0.481,0.1,0.4,0.333,0.4,0.7,1.1,0.3,0.2,0.3,0.3,1.9,2020-21,0.48,0.14,
Cassius Winston,WAS,22.0,4.5,0.6,1.5,0.424,0.4,0.471,0.3,0.375,0.545,0.2,0.3,0.833,0.0,0.4,0.4,0.5,0.1,0.0,0.2,1.9,2020-21,0.58,0.08,
Daniel Oturu,LAC,30.0,5.4,0.7,1.7,0.423,0.0,0.2,0.7,0.447,0.433,0.3,0.4,0.75,0.7,0.9,1.6,0.3,0.1,0.2,0.3,1.8,2020-21,0.48,0.09,
Axel Toupane,MIL,8.0,7.6,0.5,1.4,0.364,0.1,0.5,0.4,0.333,0.409,0.6,0.9,0.714,0.0,0.8,0.8,0.5,0.3,0.4,0.0,1.8,2020-21,0.5,0.32,
Elijah Hughes,UTA,18.0,3.6,0.6,1.7,0.333,0.4,0.348,0.1,0.286,0.467,0.2,0.2,0.75,0.1,0.4,0.5,0.3,0.1,0.1,0.3,1.7,2020-21,0.48,0.07,
T.J. Leaf,POR,7.0,5.0,0.7,1.4,0.5,0.0,,0.7,0.5,0.5,0.3,0.3,1.0,0.0,0.7,0.7,0.1,0.3,0.1,0.3,1.7,2020-21,0.55,0.27,
James Nunnally,NOP,9.0,5.3,0.6,1.4,0.385,0.4,0.333,0.1,1.0,0.538,0.1,0.2,0.5,0.2,0.8,1.0,0.3,0.0,0.0,0.2,1.7,2020-21,0.57,0.21,
