Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Steve Smith,ATL,72.0,39.1,6.8,15.9,0.429,1.8,0.335,5.0,0.477,0.486,4.6,5.5,0.847,1.3,2.1,3.3,4.2,0.9,0.3,2.4,20.1,1996-97,0.55,0.23
Chris Webber,WSB,72.0,39.0,8.4,16.2,0.518,0.8,0.397,7.6,0.535,0.543,2.5,4.3,0.565,3.3,7.0,10.3,4.6,1.7,1.9,3.2,20.1,1996-97,0.56,0.36
Alonzo Mourning,MIA,66.0,35.2,7.2,13.4,0.534,0.0,0.111,7.2,0.539,0.535,5.5,8.6,0.642,2.9,7.1,9.9,1.6,0.8,2.9,3.4,19.8,1996-97,0.58,0.34
Terrell Brandon,CLE,78.0,36.8,7.4,16.8,0.438,1.3,0.373,6.1,0.455,0.476,3.4,3.8,0.902,0.6,3.2,3.9,6.3,1.8,0.4,2.3,19.5,1996-97,0.53,0.25
Charles Barkley,HOU,53.0,37.9,6.3,13.1,0.484,1.1,0.283,5.2,0.569,0.526,5.4,7.8,0.694,4.0,9.5,13.5,4.7,1.3,0.5,2.8,19.2,1996-97,0.58,0.51
Juwan Howard,WSB,82.0,40.5,7.8,16.0,0.486,0.0,0.0,7.8,0.487,0.486,3.6,4.7,0.756,2.5,5.5,8.0,3.8,1.1,0.3,3.0,19.1,1996-97,0.53,0.24
Chris Gatling,2TM,47.0,27.3,7.0,13.3,0.525,0.0,0.167,6.9,0.528,0.526,5.0,7.0,0.717,2.9,5.0,7.9,0.6,0.8,0.7,2.6,19.0,1996-97,0.58,0.39
Shareef Abdur-Rahim,VAN,80.0,35.0,6.9,15.2,0.453,0.1,0.259,6.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,18.7,1996-97,0.52,0.21
Shawn Kemp,SEA,81.0,34.0,6.5,12.7,0.51,0.1,0.364,6.3,0.515,0.516,5.6,7.5,0.742,3.4,6.6,10.0,1.9,1.5,1.0,3.5,18.7,1996-97,0.58,0.27
Joe Smith,GSW,80.0,38.6,7.3,16.2,0.454,0.2,0.261,7.2,0.461,0.459,3.8,4.7,0.814,3.3,5.2,8.5,1.6,0.9,1.1,2.4,18.7,1996-97,0.51,0.23
